City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,ghardaia,32.4909,3.6735,17.91,30,11,4.23,DZ,1697958634
138,ribeira grande,38.5167,-28.7,18.22,68,40,4.92,PT,1697958634
139,fandrandava,-21.5208,47.2453,27.66,44,0,1.56,MG,1697958634
140,cantillana,37.6103,-5.8247,15.66,56,100,5.43,ES,1697958635
141,aqadyr,48.2553,72.8483,11.62,58,100,12.3,KZ,1697958635
142,hami,42.8,93.45,18.11,18,0,2.56,CN,1697958635
143,korla,41.7597,86.1469,18.27,21,4,3.54,CN,1697958635
144,masaka,-0.3338,31.7341,24.7,62,20,1.74,UG,1697958635
145,kantunilkin,21.0917,-87.45,20.56,93,32,0.36,MX,1697958636
146,zhangatas,43.5667,69.75,16.87,49,48,15.05,KZ,1697958636
147,recreo,-29.2818,-65.061,24.55,71,0,0.55,AR,1697958636
148,kunduz,36.75,68.75,21.27,45,5,1.69,AF,1697958636
149,narasannapeta,18.4167,84.05,29.71,54,100,4.47,IN,1697958636
150,uturoa,-16.7333,-151.4333,26.41,80,100,4.3,PF,1697958637
151,vilyuysk,63.7553,121.6247,-1.32,84,99,2.56,RU,1697958637
152,chittagong,22.9167,91.5,29.85,68,97,2.59,BD,1697958637
153,cidade velha,14.9167,-23.6167,25.26,83,20,4.12,CV,1697958637
154,biloela,-24.4167,150.5,32.83,26,6,1.66,AU,1697958638
155,peace river,56.2501,-117.286,-2.41,95,76,3.11,CA,1697958457
156,todos santos,23.45,-110.2167,25.25,87,100,16.05,MX,1697958545
157,liberal,37.0431,-100.921,13.58,62,0,5.14,US,1697958428
158,thompson,55.7435,-97.8558,-0.91,93,100,0.0,CA,1697958638
159,touros,-5.1989,-35.4608,25.09,78,74,5.07,BR,1697958639
160,avon lake,41.5053,-82.0282,10.12,81,40,5.66,US,1697958639
161,uray,60.1247,64.7758,1.16,57,7,5.32,RU,1697958634
162,usinsk,65.9939,57.5281,-0.59,91,100,12.08,RU,1697958639
163,talnakh,69.4865,88.3972,-1.55,82,100,3.83,RU,1697958639
164,naze,28.3667,129.4833,21.11,64,57,4.72,JP,1697958640
165,constantia,44.1833,28.65,26.5,47,5,3.34,RO,1697958640
166,la mira,18.035,-102.3266,24.59,91,100,1.47,MX,1697958640
167,saldanha,-33.0117,17.9442,19.76,58,10,1.52,ZA,1697958569
168,iskateley,67.6803,53.1512,-0.03,81,93,9.36,RU,1697958640
